timestamp;position1;position2
2022-05-17 16:24:09;;-206
2022-05-17 16:25:55;;-4
2022-05-17 16:26:30;;312
2022-05-17 16:29:06;;594
2022-05-17 16:29:49;;796
2022-05-17 16:31:11;;1342
2022-05-17 16:31:53;;1099
2022-05-17 16:36:20;575;1025
